,userId,COURSENAME,TECHSTACK,skills,combined
0,Employee_1,"Microsoft Certified: Dynamics 365 Field Service Functional Consultant Associate, GIAC Certified Intrusion Analyst (GCIA), Microsoft Certified: Windows Server Hybrid Administrator Associate","Java, Docker, SQL, Artificial Intelligence, Flask, Data Analysis, Data Science, Responsive Design, User Stories",Artificial Intelligence,"Microsoft Certified: Dynamics 365 Field Service Functional Consultant Associate, GIAC Certified Intrusion Analyst (GCIA), Microsoft Certified: Windows Server Hybrid Administrator Associate Java, Docker, SQL, Artificial Intelligence, Flask, Data Analysis, Data Science, Responsive Design, User Stories Artificial Intelligence"
1,Employee_10,"Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate","Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS","Business Analysis, Data Science, Flask, Communication, Cryptography, User Stories, Flask","Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate, Microsoft Certified: Azure Database Administrator Associate Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS, Angular, Penetration Testing, CSS Business Analysis, Data Science, Flask, Communication, Cryptography, User Stories, Flask"
2,Employee_100,"AWS Certified Security  Specialty, AWS Certified Security  Specialty","Kubernetes, Node.js, Ruby, Kubernetes, Node.js, Ruby","Agile Product Management, React","AWS Certified Security  Specialty, AWS Certified Security  Specialty Kubernetes, Node.js, Ruby, Kubernetes, Node.js, Ruby Agile Product Management, React"
3,Employee_101,"Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Google Professional Network Engineer, Google Professional Network Engineer, Google Professional Network Engineer, Google Professional Network Engineer, Google Professional Network Engineer, Google Professional Network Engineer, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty","Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design","Continuous Integration, Vue.js, Django, Cybersecurity, Business Analysis, React","Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Microsoft Certified: Azure Developer Associate, Google Professional Network Engineer, Google Professional Network Engineer, Google Professional Network Engineer, Google Professional Network Engineer, Google Professional Network Engineer, Google Professional Network Engineer, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, Data Visualization, Behavior-Driven Development, CI/CD, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, NoSQL, Flask, Cryptography, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design, Support, Kotlin, Interaction Design Continuous Integration, Vue.js, Django, Cybersecurity, Business Analysis, React"
4,Employee_102,"Google Professional Data Engineer, Google Professional Data Engineer, Google Professional Data Engineer, Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate, Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate, Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate, Certified Information Privacy Professional (CIPP), Certified Information Privacy Professional (CIPP), Certified Information Privacy Professional (CIPP), AWS Certified Advanced Networking  Specialty, AWS Certified Advanced Networking  Specialty, AWS Certified Advanced Networking  Specialty","Problem Solving, Google Cloud Platform, Machine Learning, Problem Solving, Google Cloud Platform, Machine Learning, Problem Solving, Google Cloud Platform, Machine Learning, CSS, Problem Solving, Interaction Design, CSS, Problem Solving, Interaction Design, CSS, Problem Solving, Interaction Design, Scrum, Data Visualization, Information Security, Scrum, Data Visualization, Information Security, Scrum, Data Visualization, Information Security, Ruby, Requirements Analysis, Vue.js, Ruby, Requirements Analysis, Vue.js, Ruby, Requirements Analysis, Vue.js","Git, PHP, CSS","Google Professional Data Engineer, Google Professional Data Engineer, Google Professional Data Engineer, Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate, Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate, Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate, Certified Information Privacy Professional (CIPP), Certified Information Privacy Professional (CIPP), Certified Information Privacy Professional (CIPP), AWS Certified Advanced Networking  Specialty, AWS Certified Advanced Networking  Specialty, AWS Certified Advanced Networking  Specialty Problem Solving, Google Cloud Platform, Machine Learning, Problem Solving, Google Cloud Platform, Machine Learning, Problem Solving, Google Cloud Platform, Machine Learning, CSS, Problem Solving, Interaction Design, CSS, Problem Solving, Interaction Design, CSS, Problem Solving, Interaction Design, Scrum, Data Visualization, Information Security, Scrum, Data Visualization, Information Security, Scrum, Data Visualization, Information Security, Ruby, Requirements Analysis, Vue.js, Ruby, Requirements Analysis, Vue.js, Ruby, Requirements Analysis, Vue.js Git, PHP, CSS"
5,Employee_103,"Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE)","Python, MySQL, C#, Python, MySQL, C#, Python, MySQL, C#, Python, MySQL, C#, Python, MySQL, C#, Python, MySQL, C#, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence","Artificial Intelligence, Network Security, Interaction Design, Problem Solving, Continuous Deployment, AWS","Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, Oracle Certified Professional, Java SE Developer, GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE), GIAC Certified Forensic Examiner (GCFE) Python, MySQL, C#, Python, MySQL, C#, Python, MySQL, C#, Python, MySQL, C#, Python, MySQL, C#, Python, MySQL, C#, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Requirements Analysis, Data Visualization, Kubernetes, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence, Node.js, User Research, Artificial Intelligence Artificial Intelligence, Network Security, Interaction Design, Problem Solving, Continuous Deployment, AWS"
6,Employee_104,"CompTIA A+, CompTIA A+, CompTIA A+, CompTIA A+, CompTIA A+, CompTIA A+, CompTIA Security+, CompTIA Security+, CompTIA Security+, CompTIA Security+, CompTIA Security+, CompTIA Security+, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate","Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing","React, Continuous Integration, Data Analysis, .NET, Data Analysis, Collaboration, Ruby","CompTIA A+, CompTIA A+, CompTIA A+, CompTIA A+, CompTIA A+, CompTIA A+, CompTIA Security+, CompTIA Security+, CompTIA Security+, CompTIA Security+, CompTIA Security+, CompTIA Security+, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance and Operations Apps Developer Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate, Microsoft Certified: Dynamics 365 Finance Functional Consultant Associate Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Cryptography, AWS, Product Management, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Product Management, User Stories, Data Science, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Accessibility, Swift, Agile Product Management, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing, Network Security, HTML, Wireframing React, Continuous Integration, Data Analysis, .NET, Data Analysis, Collaboration, Ruby"
7,Employee_105,"Certified Analytics Professional (CAP), Certified Analytics Professional (CAP), Certified Analytics Professional (CAP), Certified Analytics Professional (CAP), Certified Analytics Professional (CAP), Google Professional Cloud Developer, Google Professional Cloud Developer, Google Professional Cloud Developer, Google Professional Cloud Developer, Google Professional Cloud Developer, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure DevOps Engineer Expert, Microsoft Certified: Azure DevOps Engineer Expert, Microsoft Certified: Azure DevOps Engineer Expert, Microsoft Certified: Azure DevOps Engineer Expert, Microsoft Certified: Azure DevOps Engineer Expert, AWS Certified DevOps Engineer  Professional, AWS Certified DevOps Engineer  Professional, AWS Certified DevOps Engineer  Professional, AWS Certified DevOps Engineer  Professional, AWS Certified DevOps Engineer  Professional","Angular, CI/CD, Machine Learning, Angular, CI/CD, Machine Learning, Angular, CI/CD, Machine Learning, Angular, CI/CD, Machine Learning, Angular, CI/CD, Machine Learning, Kotlin, Flask, .NET, Kotlin, Flask, .NET, Kotlin, Flask, .NET, Kotlin, Flask, .NET, Kotlin, Flask, .NET, JavaScript, Requirements Analysis, Leadership, JavaScript, Requirements Analysis, Leadership, JavaScript, Requirements Analysis, Leadership, JavaScript, Requirements Analysis, Leadership, JavaScript, Requirements Analysis, Leadership, PHP, Continuous Deployment, Data Analysis, PHP, Continuous Deployment, Data Analysis, PHP, Continuous Deployment, Data Analysis, PHP, Continuous Deployment, Data Analysis, PHP, Continuous Deployment, Data Analysis, Swift, Kotlin, Business Analysis, Swift, Kotlin, Business Analysis, Swift, Kotlin, Business Analysis, Swift, Kotlin, Business Analysis, Swift, Kotlin, Business Analysis","Test-Driven Development, DevOps, Azure, UI/UX Design, Ruby","Certified Analytics Professional (CAP), Certified Analytics Professional (CAP), Certified Analytics Professional (CAP), Certified Analytics Professional (CAP), Certified Analytics Professional (CAP), Google Professional Cloud Developer, Google Professional Cloud Developer, Google Professional Cloud Developer, Google Professional Cloud Developer, Google Professional Cloud Developer, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure IoT Developer Specialty, Microsoft Certified: Azure DevOps Engineer Expert, Microsoft Certified: Azure DevOps Engineer Expert, Microsoft Certified: Azure DevOps Engineer Expert, Microsoft Certified: Azure DevOps Engineer Expert, Microsoft Certified: Azure DevOps Engineer Expert, AWS Certified DevOps Engineer  Professional, AWS Certified DevOps Engineer  Professional, AWS Certified DevOps Engineer  Professional, AWS Certified DevOps Engineer  Professional, AWS Certified DevOps Engineer  Professional Angular, CI/CD, Machine Learning, Angular, CI/CD, Machine Learning, Angular, CI/CD, Machine Learning, Angular, CI/CD, Machine Learning, Angular, CI/CD, Machine Learning, Kotlin, Flask, .NET, Kotlin, Flask, .NET, Kotlin, Flask, .NET, Kotlin, Flask, .NET, Kotlin, Flask, .NET, JavaScript, Requirements Analysis, Leadership, JavaScript, Requirements Analysis, Leadership, JavaScript, Requirements Analysis, Leadership, JavaScript, Requirements Analysis, Leadership, JavaScript, Requirements Analysis, Leadership, PHP, Continuous Deployment, Data Analysis, PHP, Continuous Deployment, Data Analysis, PHP, Continuous Deployment, Data Analysis, PHP, Continuous Deployment, Data Analysis, PHP, Continuous Deployment, Data Analysis, Swift, Kotlin, Business Analysis, Swift, Kotlin, Business Analysis, Swift, Kotlin, Business Analysis, Swift, Kotlin, Business Analysis, Swift, Kotlin, Business Analysis Test-Driven Development, DevOps, Azure, UI/UX Design, Ruby"
8,Employee_106,"AWS Certified Advanced Networking  Specialty, AWS Certified Advanced Networking  Specialty, AWS Certified Advanced Networking  Specialty","Technical Writing, Kubernetes, Azure, Technical Writing, Kubernetes, Azure, Technical Writing, Kubernetes, Azure","AWS, Cryptography, Angular","AWS Certified Advanced Networking  Specialty, AWS Certified Advanced Networking  Specialty, AWS Certified Advanced Networking  Specialty Technical Writing, Kubernetes, Azure, Technical Writing, Kubernetes, Azure, Technical Writing, Kubernetes, Azure AWS, Cryptography, Angular"
9,Employee_107,"Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals","CI/CD, MongoDB, CSS, CI/CD, MongoDB, CSS, CI/CD, MongoDB, CSS, CI/CD, MongoDB, CSS","Google Cloud Platform, PostgreSQL, User Stories, Wireframing","Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals, Microsoft Certified: Dynamics 365 Fundamentals CI/CD, MongoDB, CSS, CI/CD, MongoDB, CSS, CI/CD, MongoDB, CSS, CI/CD, MongoDB, CSS Google Cloud Platform, PostgreSQL, User Stories, Wireframing"
